"District/LEA","District #","School","School #","Private","Charter","T-I Prev.","T-I Curr.","Grades","Address","City","Zip","Map","Link","Stats","Phone","Fax","Chartered By","Opened","Closed","Principal/Director","Principal Name","Principal Email"
"Jordan District","14","Fox Hollow School","121","Public","","","","K - 6","6020 W 8200 S","WEST JORDAN","84081","geo:40.602192,-112.036807","foxhollow.jordandistrict.org","https://datagateway.schools.utah.gov/Schools/14121","801-282-1818","801-302-4961","","2011","","Principal","Amy Adams","amy.adams@jordandistrict.org"
"Jordan District","14","Golden Fields School","139","Public","","","","K - 6","10252 S. Split Rock Drive","SOUTH JORDAN","84009","geo:40.565015,-112.0158947","goldenfields.jordandistrict.org","https://datagateway.schools.utah.gov/Schools/14139","801-567-8910","","","2017","","Principal","Nicholas Hansen","nick.hansen@jordandistrict.org"
"Jordan District","14","Hayden Peak School","131","Public","","","","K - 6","5120 W HAYDEN PEAK DR","WEST JORDAN","84081","geo:40.605147,-112.01382","haydenpeak.jordandistrict.org","https://datagateway.schools.utah.gov/Schools/14131","801-280-0722","801-302-4931","","1999","","Principal","Tina Susuico","tina.susuico@jordandistrict.org"
"Jordan District","14","Heartland School","132","Public","","Title I","Title I","K - 6","1451 W 7000 S","WEST JORDAN","84084","geo:40.623947,-111.933026","heartland.jordandistrict.org","https://datagateway.schools.utah.gov/Schools/14132","801-565-7533","801-302-4932","","1987","","Principal","Buddy Alger","buddy.alger@jordandistrict.org"
"Jordan District","14","Herriman School","136","Public","","","","K - 6","13170 S 6000 W","HERRIMAN","84096","geo:40.511715,-112.035014","herrimanelementary.jordandistrict.org","https://datagateway.schools.utah.gov/Schools/14136","801-446-3215","801-302-4936","","1999","","Principal","Lauren Goodsell","laurie.goodsell@jordandistrict.org"
"Jordan District","14","Jordan Hills School","134","Public","","","","K - 6","8892 S 4800 W","WEST JORDAN","84088","geo:40.589968,-112.006314","jordanhills.jordandistrict.org","https://datagateway.schools.utah.gov/Schools/14134","801-280-0238","801-302-4934","","1998","","Principal","Baylee Lansford","baylee.lansford@jordandistrict.org"
"Jordan District","14","Jordan Ridge School","133","Public","","","","K - 6","2636 W 9800 S","SOUTH JORDAN","84095","geo:40.573857,-111.956624","jordanridge.jordandistrict.org","https://datagateway.schools.utah.gov/Schools/14133","801-254-8025","801-302-4933","","1987","","Principal","Melissa Beck","melissa.beck@jordandistrict.org"
"Jordan District","14","Juniper","189","Public","","","","4 - 6","13922 S 4600 W","HERRIMAN","84096","geo:40.49859,-112.00175","juniper.jordandistrict.org","https://datagateway.schools.utah.gov/Schools/14189","801-567-8980","","","2024","","Principal","Kaleb Yates","kaleb.yates@jordandistrict.org"
"Jordan District","14","Majestic School","138","Public","","Title I","Title I","K - 6","7430 S 1700 W","WEST JORDAN","84084","geo:40.616034,-111.941113","majestic.jordandistrict.org","https://datagateway.schools.utah.gov/Schools/14138","801-565-7458","801-302-4938","","1975","","Principal","Marianne Johansen","Marianne.Johansen@jordandistrict.org"
"Jordan District","14","Midas Creek School","119","Public","","","","K - 6","11901 S PARK HAVEN LANE","RIVERTON","84096","geo:40.530043,-111.997157","midascreek.jordandistrict.org","https://datagateway.schools.utah.gov/Schools/14119","801-254-7407","801-302-4919","","2007","","Principal","Theresa Christensen","theresa.christensen@jordandistrict.org"
"Jordan District","14","Monte Vista School","146","Public","","","","K - 6","11121 S 2700 W","SOUTH JORDAN","84095","geo:40.548604,-111.95671","montevista.jordandistrict.org","https://datagateway.schools.utah.gov/Schools/14146","801-254-8040","801-302-4946","","1977","","Principal","Natalie Gleave","natalie.gleave@jordandistrict.org"
"Jordan District","14","Mountain Point Elementary","129","Public","","","","K - 6","15345 S 1200 W","BLUFFDALE","84065","geo:40.48633,-111.92481","mountainpoint.jordandistrict.org","https://datagateway.schools.utah.gov/Schools/14129","801-567-8940","","","2019","","Principal","John Sassman","john.sassman@jordandistrict.org	"
"Jordan District","14","Mountain Shadows School","145","Public","","","","K - 6","5255 W 7000 S","WEST JORDAN","84084","geo:40.623139,-112.016305","mountainshadows.jordandistrict.org","https://datagateway.schools.utah.gov/Schools/14145","801-963-0291","801-302-4945","","1988","","Principal","Bryce Eardley","bryce.eardley@jordandistrict.org"
"Jordan District","14","Oak Leaf Elementary","141","Public","","","","K - 6","6935 W Silver Sky Drive","HERRIMAN","84096","geo:40.51993,-112.03538","oakleaf.jordandistrict.org","https://datagateway.schools.utah.gov/Schools/14141","801-567-8970","","","2022","","Principal","Ronna Hoffman","Ronna.Hoffman@jordandistrict.org"
"Jordan District","14","Oakcrest School","114","Public","","","","K - 6","8462 S HILLTOP OAK DR","WEST JORDAN","84088","geo:40.597638,-112.047064","oakcrest.jordandistrict.org","https://datagateway.schools.utah.gov/Schools/14114","801-280-7243","801-302-4914","","2004","","Principal","Janae Young","janae.young@jordandistrict.org"
"Jordan District","14","Oquirrh School","147","Public","","","","K - 6","7165 S PADDINGTON ROAD","WEST JORDAN","84084","geo:40.621097,-111.969624","oquirrh.jordandistrict.org","https://datagateway.schools.utah.gov/Schools/14147","801-565-7474","801-302-4947","","1979","","Principal","Jennifer Ludlow","jennifer.ludlow@jordandistrict.org"
"Jordan District","14","Ridge View Elementary","125","Public","","","","K - 6","14120 S Greenford Ln.","HERRIMAN","84096","geo:40.492967,-111.993222","ridgeview.jordandistrict.org","https://datagateway.schools.utah.gov/Schools/14125","801-567-8930","","","2019","","Principal","Molly Morgan","molly.morgan@jordandistrict.org"
"Jordan District","14","Riverside School","153","Public","","","","K - 6","8737 S 1220 W","WEST JORDAN","84088","geo:40.592682,-111.926025","riverside.jordandistrict.org","https://datagateway.schools.utah.gov/Schools/14153","801-565-7484","801-302-4953","","1980","","Principal","Jerilyn Schafer","jerilyn.schafer@jordandistrict.org"
"Jordan District","14","Riverton School","152","Public","","","","K - 6","13150 S 1830 W","RIVERTON","84065","geo:40.512175,-111.944324","rivertonelementary.jordandistrict.org","https://datagateway.schools.utah.gov/Schools/14152","801-254-8050","801-302-4952","","1982","","Principal","Shauna Worthington","shauna.worthington@jordandistrict.org"
"Jordan District","14","Rocky Peak Virtual School","190","Public","","","","K - 6","7905 South Redwood Road","WEST JORDAN","84084","geo:40.62009,-111.93872","rockypeak.jordandistrict.org","https://datagateway.schools.utah.gov/Schools/14190","801-567-8480","","","2021","","Principal","Ross William Menlove","ross.menlove@jordandistrict.org"
"Jordan District","14","Rosamond School","157","Public","","","","K - 6","12195 S 1975 W","RIVERTON","84065","geo:40.529773,-111.94284","rosamond.jordandistrict.org","https://datagateway.schools.utah.gov/Schools/14157","801-254-8043","801-302-4957","","1984","","Principal","","candie.checketts@jordandistrict.org"
"Jordan District","14","Rose Creek School","163","Public","","","","K - 6","12812 S 3600 W","RIVERTON","84065","geo:40.517654,-111.978818","rosecreek.jordandistrict.org","https://datagateway.schools.utah.gov/Schools/14163","801-254-8082","801-302-4963","","1998","","Principal","Megan Cox","megan.cox@jordandistrict.org"
"Jordan District","14","Silver Crest School","117","Public","","","","K - 6","12937 S ELEMENTARY DR","HERRIMAN","84096","geo:40.516567,-112.021693","silvercrest.jordandistrict.org","https://datagateway.schools.utah.gov/Schools/14117","801-253-1034","801-302-4917","","2009","","Principal","Holly Bagley","holly.bagley@jordandistrict.org"
"Jordan District","14","South Jordan School","160","Public","","","","K - 6","11205 S BLACK CHERRY WAY","SOUTH JORDAN","84095","geo:40.547465,-111.93213","southjordanelementary.jordandistrict.org","https://datagateway.schools.utah.gov/Schools/14160","801-254-8000","801-302-4960","","1908","","Principal","Elizabeth Pollock","beth.pollock@jordandistrict.org	"
"Jordan District","14","Southland School","161","Public","","","","K - 6","12675 S 2700 W","RIVERTON","84065","geo:40.520884,-111.9567","southland.jordandistrict.org","https://datagateway.schools.utah.gov/Schools/14161","801-254-8047","801-302-4961","","1975","","Principal","Garett York","garett.york@jordandistrict.org"
"Jordan District","14","Terra Linda School","162","Public","","","","K - 6","8400 S 3400 W","WEST JORDAN","84088","geo:40.59791,-111.974885","terralinda.jordandistrict.org","https://datagateway.schools.utah.gov/Schools/14162","801-282-8036","801-302-4962","","1973","","Principal","Yajaira Martinez","yajaira.martinez@jordandistrict.org"
"Jordan District","14","Welby School","167","Public","","","","K - 6","4130 W 9580 S","South Jordan","84009","geo:40.578091,-111.989585","welby.jordandistrict.org","https://datagateway.schools.utah.gov/Schools/14167","801-280-1456","801-302-4967","","1980","","Principal","Kasey Dahl","kasey.dahl@jordandistrict.org"
"Jordan District","14","Westland School","170","Public","","","","K - 6","2925 W 7180 S","WEST JORDAN","84084","geo:40.620236,-111.963391","westland.jordandistrict.org","https://datagateway.schools.utah.gov/Schools/14170","801-565-7508","801-302-4970","","1972","","Principal","Ann Pessetto","ann.pessetto@jordandistrict.org"
"Jordan District","14","Westvale School","169","Public","","","","K - 6","2300 W 8660 S","WEST JORDAN","84088","geo:40.594834,-111.949582","westvale.jordandistrict.org","https://datagateway.schools.utah.gov/Schools/14169","801-565-7510","801-302-4969","","1967","","Principal","Angela Solum","angela.solum@jordandistrict.org"
"Juab District","15","Mona School","110","Public","","","","K - 6","260 E 200 S","MONA","84645","geo:39.813135,-111.850431","https://sites.google.com/juabsd.org/mes/","https://datagateway.schools.utah.gov/Schools/15110","435-623-2082","435-623-2661","","1984","","Principal","Brandi Webster","brandi.webster@juabsd.org"
"Juab District","15","Nebo View School","114","Public","","Title I","Title I","K - 6","380 E 200 N","NEPHI","84648","geo:39.720292,-111.827006","https://sites.google.com/juabsd.org/nves/","https://datagateway.schools.utah.gov/Schools/15114","435-623-1812","435-623-5039","","2003","","Principal","Marcie Keen","marcie.keen@juabsd.org"
"Juab District","15","Red Cliff School","112","Public","","Title I","Title I","Pre - 6","1199 S MAIN","NEPHI","84648","geo:39.692922,-111.83583","https://sites.google.com/juabsd.org/rces/home","https://datagateway.schools.utah.gov/Schools/15112","435-623-0328","435-623-4212","","1952","","Principal","Darren Mecham","darren.mecham@juabsd.org"
"Kane District","16","Big Water School","110","Public","","Title I","Title I","K - 6","P O BOX 410126 AARON BURR RD","BIG WATER","84741","geo:37.085539,-111.66443","https://bws.kanek12.org/","https://datagateway.schools.utah.gov/Schools/16110","435-675-5821","435-675-5821","","1988","","Principal","Andrew Roundy","roundya@kane.k12.ut.us"
"Kane District","16","Kanab School","116","Public","","Title I","Title I","K - 6","41 W 100 N","KANAB","84741","geo:37.050165,-112.52957","https://kes.kanek12.org/","https://datagateway.schools.utah.gov/Schools/16116","435-644-2329","435-644-5041","","1954","","Principal","Daniel Trimble","trimbled@kane.k12.ut.us"
"Kane District","16","Lake Powell High School","130","Public","","Title I","Title I","K - 6","P O BOX 4345 1000 FERRY RD","LAKE POWELL","84533","geo:37.525583,-110.708445","https://lps.kanek12.org/","https://datagateway.schools.utah.gov/Schools/16130","435-644-6321","435-684-3821","","1990","","Principal","Nicolai Benjamin Johannes Dietz Fischer","fischern@kane.k12.ut.us"
"Kane District","16","Valley School","120","Public","","Title I","Title I","K - 6","P O BOX 129 110 E STATE","ORDERVILLE","84758","geo:37.275285,-112.636196","http://www.ves.kane.k12.ut.us/","https://datagateway.schools.utah.gov/Schools/16120","435-648-2277","435-648-2131","","1968","","Principal","Mary Miles","flanaganm@kane.k12.ut.us"
"Kid's First","FK","Kid's First","901","Private","","","","Pre - 6","P.O. Box 119","KAYSVILLE","84037","geo:40.759296,-111.886336","","","801-  5-4411","","","2018","","Administrator","","kidsfirstcc@gmail.com"
"Kids on the Move","OV","Kids on the Move","901","Private","","","","Pre - K","475 West 260 North","OREM","84057","geo:40.30182830850794,-111.7069367474409","kotm.org","","801-221-9930","","","2024","","Administrator","","lwilson@kotm.org"
"Kids World","NG","Kids World","901","Private","","","","K","1328 WEST STERN DRIVE","SALT LAKE CITY","84123","geo:40.639315,-111.92999","www.kidsworldacademy.org","","801-243-4991","","","2008","","Director","Brandon V. Francis","bfrancis@kidsworldacademy.org"
"Kiwi Kids","YB","Kiwi Kids","901","Private","","","","Pre - 8","11629 South 700 East #125","DRAPER","84020","geo:40.54035,-111.8697","","","385-348-2109","","","2024","","Director","","kiwikidsutah@gmail.com"
"KoolMinds","BZ","KoolMinds","925","Private","","","","K - 8","11748 S 3600 West #2","SOUTH JORDAN","84095","geo:40.529691,-111.976742","https://brainzone.us/","","801-637-2736","","","2019","","Director","","jaydra@brainzone.us"
"KoolMinds","BZ","KoolMinds East Sandy","940","Private","","","","Pre - 8","P.O.Box 95012","SOUTH JORDAN","84095","geo:40.5935,-111.87824","koolminds.com","","801-997-1334","","","2023","","Administrator","","support@koolminds.com"
"KoolMinds","BZ","KoolMinds Orem","930","Private","","","","Pre - 8","P.O.Box 95012","SOUTH JORDAN","84095","geo:40.27688,-111.72749","Koolminds.com","","385-203-7985","","","2023","","Administrator","","support@koolminds.com"
"Kurious Active Learning Community","UK","Kurious Active Learning Community","901","Private","","","","Pre - 6","4223 Vintage Cir","PROVO","84604","geo:40.33463,-111.71242","www.kurious.fun","","385-381-0083","","","2024","","Administrator","","admin@kurious.fun"
"Layton Christian Academy","JO","Layton Christian Academy","926","Private","","","","Pre - 8","2352 E HIGHWAY 193","LAYTON","84040","geo:41.105142,-111.922214","www.lcaeagle.org","","801-771-7141","801-771-0170","","1999","","Principal","Aaron Schrader","info@lcaeagle.org"
"Leadership Learning Academy","3I","Leadership Learning Academy","100","Public","Charter","","","K - 6","100 West 2675 North","LAYTON","84041","geo:41.099122,-111.968474","http://llacharter.org/","https://datagateway.schools.utah.gov/Schools/3I100","801-593-9552","801-784-5174","State Charter School Board (SCSB)","2013","","Principal","Melissa Macchia","mmacchia@llacharter.org"
"Leadership Learning Academy","3I","Leadership Learning Academy - Ogden","110","Public","Charter","Title I","Title I","K - 6","1111 2nd Street","OGDEN","84404","geo:41.258743,-111.9519417","","https://datagateway.schools.utah.gov/Schools/3I110","801-784-5170","","State Charter School Board (SCSB)","2017","","Principal","Kimberlee McClellan","kmcclellan@llacharter.org"
"Logan City District","39","Adams School","104","Public","","Title I","Title I","Pre - 5","415 E 500 N","LOGAN","84321","geo:41.741406,-111.823644","http://www.adams.loganschools.org","https://datagateway.schools.utah.gov/Schools/39104","435-755-2320","435-755-2322","","1936","","Principal","Marisa Oviatt","marisa.oviatt@loganschools.org"
"Logan City District","39","Bridger School","110","Public","","Title I","Title I","Pre - 5","1261 N 400 W","LOGAN","84341","geo:41.755161,-111.84523","http://www.bridger.loganschools.org","https://datagateway.schools.utah.gov/Schools/39110","435-755-2345","","","2004","","Principal","Kandice Goodman","kandice.goodman@loganschools.org"
"Logan City District","39","Ellis School","112","Public","","Title I","Title I","Pre - 5","348 W 300 N","LOGAN","84321","geo:41.736945,-111.84447","http://www.ellis.loganschools.org","https://datagateway.schools.utah.gov/Schools/39112","435-755-2330","435-755-2332","","1924","","Principal","Douglas Beach","doug.beach@loganschools.org"
"Logan City District","39","Hillcrest School","124","Public","","Title I","Title I","K - 5","960 N 1400 E","LOGAN","84321","geo:41.74858,-111.798877","http://www.hillcrest.loganschools.org","https://datagateway.schools.utah.gov/Schools/39124","435-755-2360","435-755-2362","","1959","","Principal","Jill Beer","jill.beer@loganschools.org"
"Logan City District","39","LCSD Center for Home Learning","204","Public","","","","K - 8","101 W Center Street","LOGAN","84321","geo:41.731501,-111.837759","","https://datagateway.schools.utah.gov/Schools/39204","435-755-2300","","","2020","","Principal","",""
"Logan City District","39","Wilson School","116","Public","","Title I","Title I","K - 5","89 S 500 E","LOGAN","84321","geo:41.73015,-111.822991","http://www.wilson.loganschools.org","https://datagateway.schools.utah.gov/Schools/39116","435-755-2340","435-755-2342","","1926","","Principal","Eric Markworth","eric.markworth@loganschools.org"
"Logan City District","39","Woodruff School","120","Public","","Title I","Title I","Pre - 5","950 W 600 S","LOGAN","84321","geo:41.719795,-111.858762","http://www.woodruff.loganschools.org","https://datagateway.schools.utah.gov/Schools/39120","435-755-2350","435-755-2352","","1983","","Principal","Matt Bennett","matt.bennett@loganschools.org"
"Lollipops Daycare","PL","Lollipops Daycare - West Jordan","903","Private","","","","Pre","821 W Academy Drive","SPANISH FORK","84660","geo:40.63116,-111.95917","https://www.lollipopsdaycare.com/","","807-695-4881","","","2024","","Administrator","","ariel.baker@lollipops.company"
"Maria Montessori Academy","4G","Maria Montessori Academy","100","Public","Charter","Title I","","K - 9","2505 N 200 E","OGDEN","84414","geo:41.30365,-111.97674","http://www.mariamontessoriacademy.org/","https://datagateway.schools.utah.gov/Schools/4G100","801-827-0150","801-827-0145","State Charter School Board (SCSB)","2010","","Director","Kacee Weaver","kweaver@mmautah.org"
"Mcgillis School","JF","Mcgillis School","901","Private","","","","1 - 8","668 S 1300 E","SALT LAKE CITY","84102","geo:40.754709,-111.854358","www.mcgillisschool.org","","801-583-0094","801-581-0718","","2003","","Principal","Mary Kimball","mkaufman@mcgillisschool.org"
"Meridian School","SM","Meridian School","951","Private","","","","7 - 12","1440 W. Center St.","SPRINGVILLE","84663","geo:40.1677192,-111.636034","meridianschool.org","","801-900-6017","801-905-3179","","2014","","Administrator","",""
"Millard District","17","Delta North School","105","Public","","Title I","Title I","2 - 4","50 N 100 E","DELTA","84624","geo:39.35339,-112.572123","http://www.millard.k12.ut.us/","https://datagateway.schools.utah.gov/Schools/17105","435-864-5680","435-864-5689","","2009","","Principal","Carolee Ferris","carolee@millardk12.org"
"Millard District","17","Delta South School","109","Public","","Title I","Title I","Pre - 1","450 S CENTER","DELTA","84624","geo:39.344383,-112.575747","http://www.millard.k12.ut.us/index.php/msd-schools/elementary-schools/dec","https://datagateway.schools.utah.gov/Schools/17109","435-864-5670","435-864-5679","","2009","","Principal","Duane Rawlinson","duane.rawlinson@millardk12.org"
"Millard District","17","Fillmore School","112","Public","","Title I","Title I","Pre - 4","555 W 400 S","FILLMORE","84631","geo:38.959947,-112.3387","http://www.millard.k12.ut.us/index.php/msd-schools/elementary-schools/fes","https://datagateway.schools.utah.gov/Schools/17112","435-743-5670","435-743-5679","","1977","","Principal","Joel Bowler","joel.bowler@millardk12.org"
"Millard District","17","Garrison School","120","Public","","","","K - 6","P O BOX 10","GARRISON","84728","geo:38.565362,-113.875177","http://www.millard.k12.ut.us/schools/gar/garrison.htm","https://datagateway.schools.utah.gov/Schools/17120","435-855-2321","435-855-2195","","1988","","Director","Cecelia Phillips","cecilia@millardk12.org"
"Montessori at Riverton","MW","Montessori at Riverton","901","Private","","","","K - 8","11930 S Redwood RD.","RIVERTON","84065","geo:40.519389,-111.931487","","","801-253-4000","801-446-9941","","2007","","Principal","",""
"Montessori Community School","CO","Montessori Community School","901","Private","","","","Pre - 6","2416 E 1700 S","SALT LAKE CITY","84108","geo:40.733299,-111.822021","www.mcsslc.com","","801-355-1555","801-355-7177","","2020","","Administrator","","info@mcsslc.com"
"Montessori Learning Center","MX","Montessori Learning Center","951","Private","","","","K - 8","310 SOUTH 400 WEST","LINDON","84042","geo:40.331186,-111.725063","","","435-734-0551","","","2007","","Principal","",""
"Monticello Academy","7C","Monticello Academy West Point","105","Public","Charter","","","K - 6","3110 W 300 N","WEST POINT","84015","geo:41.11866,-112.08556","http://www.monticelloacademy.net","https://datagateway.schools.utah.gov/Schools/7C105","801-417-8040","","State Charter School Board (SCSB)","2020","","Director","Ethan Wivietsky","ethan.wivietsky@monticelloacademy.net"
"Monument Valley Sda Mission School","SD","Monument Valley SDA Mission School","905","Private","","","","K - 9","PO Box 360013","MONUMENT VALLEY","84536","geo:37.0081294,-110.2115473","","","435-727-3270","","","2016","","Principal","",""
"Morgan District","18","Morgan School","104","Public","","Title I","Title I","K - 4","344 E YOUNG ST","MORGAN","84050","geo:41.037133,-111.67131","http://www.morgan.k12.ut.us/elementary/index.html","https://datagateway.schools.utah.gov/Schools/18104","801-829-3438","801-829-0589","","1977","","Principal","Trina Wilkinson","twilkinson@morgansd.org"
"Morgan District","18","Mountain Green School","106","Public","","","","K - 4","6064 N SILVER LEAF DR","MOUNTAIN GREEN","84050","geo:41.143572,-111.759025","http://www.morgan.k12.ut.us/MGES/MGESIndex.html","https://datagateway.schools.utah.gov/Schools/18106","801-876-3041","801-876-3518","","2008","","Principal","Ramona Martin","rmartin@morgansd.org"
"Mountain Sunrise Academy","4M","Mountain Sunrise Academy","100","Public","Charter","","","K - 8","1802 East 145 North","SARATOGA SPRINGS","84043","geo:40.36502,-111.86591","MountainSunriseAcademy.org","https://datagateway.schools.utah.gov/Schools/4M100","801-882-2525","","State Charter School Board (SCSB)","2020","","Director","Kelsi Bailey","director@mountainsunriseacademy.org"
"Mountain View Montessori","3J","Mountain View Montessori","100","Public","Charter","Title I","Title I","K - 7","1160 N. 645 W","WASHINGTON","84780","geo:37.1472584,-113.5202387","www.dixiemontessoriacademy.org","https://datagateway.schools.utah.gov/Schools/3J100","435-251-8539","435-578-0718","State Charter School Board (SCSB)","2014","","Director","Brian Clyne","bclyne@mvmutah.org"
"Mountain West Montessori Academy","5J","Mountain West Montessori Academy","300","Public","Charter","Title I","Title I","K - 9","4125 W Foxview Dr.","South Jordan","84009","geo:40.541111,-111.988819","www.MWMAcademy.org","https://datagateway.schools.utah.gov/Schools/5J300","801-566-6962","801-497-0461","State Charter School Board (SCSB)","2014","","Principal","Angela Johnson","ajohnson@mwmacademy.org"
"Murray District","40","Grant School","112","Public","","","","K - 6","662 W 6140 S","MURRAY","84123","geo:40.637595,-111.908942","http://schools.murrayschools.org/schools/GNT/Grant_Elementary/Welcome.html","https://datagateway.schools.utah.gov/Schools/40112","801-264-7416","801-264-7437","","1959","","Principal","Jill Burnside","jburnside@murrayschools.org"
"Murray District","40","Horizon School","116","Public","","Title I","Title I","K - 6","5180 S 700 W","MURRAY","84123","geo:40.658925,-111.910642","http://schools.murrayschools.org/schools/HZN/mainpage.html","https://datagateway.schools.utah.gov/Schools/40116","801-264-7420","801-264-7444","","1982","","Principal","Mindy Ball","mball@murrayschools.org"
"Murray District","40","Liberty School","120","Public","","Title I","Title I","K - 6","140 W 6100 S","MURRAY","84107","geo:40.638959,-111.895638","http://liberty.murrayschools.schoolfusion.us/","https://datagateway.schools.utah.gov/Schools/40120","801-264-7424","801-264-7449","","1938","","Principal","Shana Mondragon","smondragon@murrayschools.org"
"Murray District","40","Longview School","128","Public","","","","K - 6","6240 LONGVIEW DR","MURRAY","84107","geo:40.636844,-111.8754","http://schools.murrayschools.org/schools/LGV/index.html","https://datagateway.schools.utah.gov/Schools/40128","801-264-7428","801-264-7452","","1960","","Principal","Tyler Horne","thorne@murrayschools.org"
"Murray District","40","Mcmillan School","124","Public","","","","K - 6","315 E 5900 S","MURRAY","84107","geo:40.643051,-111.881989","http://schools.murrayschools.org/schools/MCM/mcm.htm","https://datagateway.schools.utah.gov/Schools/40124","801-264-7430","801-264-7451","","1953","","Principal","Hannah Dolata Hafemann","hdolata@murrayschools.org"
"Murray District","40","Parkside School","129","Public","","Title I","Title I","K - 6","495 E 5175 S","MURRAY","84107","geo:40.658415,-111.87702","http://schools.murrayschools.org/schools/PKS/PKS.HTM","https://datagateway.schools.utah.gov/Schools/40129","801-264-7434","801-264-7453","","1967","","Principal","Heather Nicholas","hnicholas@murrayschools.org"
"Murray District","40","Viewmont School","130","Public","","","","K - 6","745 W 5720 S","MURRAY","84123","geo:40.647031,-111.911614","http://viewmont.schoolfusion.us/","https://datagateway.schools.utah.gov/Schools/40130","801-264-7438","801-264-7454","","1965","","Principal","Lia Del Priore Smith","lsmith@murrayschools.org"
"Nebo District","19","Apple Valley School","102","Public","","","","Pre - 6","105 E 770 N","SANTAQUIN","84655","geo:39.988639,-111.782986","www.nebo.edu/schools/websites","https://datagateway.schools.utah.gov/Schools/19102","801-354-7400","","","2018","","Principal","Sydney Sharp","sydney.sharp@nebo.edu"
"Nebo District","19","Art City School","100","Public","","","","Pre - 6","121 N 900 E","SPRINGVILLE","84663","geo:40.168152,-111.59459","http://artcity.nebo.edu/","https://datagateway.schools.utah.gov/Schools/19100","801-489-2820","801-489-6042","","1978","","Principal","Clint Cornwall","clint.cornwall@nebo.edu"
"Nebo District","19","Barnett School","104","Public","","Title I","Title I","Pre - 6","456 N 300 E","PAYSON","84651","geo:40.049474,-111.728474","http://www.nebo.edu/barnett/index.html","https://datagateway.schools.utah.gov/Schools/19104","801-465-6000","801-465-6001","","1979","","Principal","Brent Hogan","brent.hogan@nebo.edu"
"Nebo District","19","Brockbank School","108","Public","","","","Pre - 6","340 W 500 N","SPANISH FORK","84660","geo:40.116761,-111.660692","http://www.nebo.edu/brockbank/pages/index.html","https://datagateway.schools.utah.gov/Schools/19108","801-798-4025","801-798-4026","","1959","","Principal","Nathan Holt","nate.holt@nebo.edu"
"Nebo District","19","Brookside School","112","Public","","","","Pre - 6","750 E 400 S","SPRINGVILLE","84663","geo:40.16091,-111.597161","http://www.nebo.edu/brookside/","https://datagateway.schools.utah.gov/Schools/19112","801-489-2830","801-489-2834","","1949","","Principal","Jennifer Grant","jennifer.grant@nebo.edu"
"Nebo District","19","Canyon School","116","Public","","","","Pre - 6","1492 E 1240 S","SPANISH FORK","84660","geo:40.092565,-111.62848","http://canyon.nebo.edu/","https://datagateway.schools.utah.gov/Schools/19116","801-798-4610","801-798-3493","","1997","","Principal","Marcy Caldwell","marcy.caldwell@nebo.edu"
"Nebo District","19","Cherry Creek School","117","Public","","Title I","Title I","Pre - 6","484 S 200 E","SPRINGVILLE","84663","geo:40.159786,-111.607192","http://cherrycreek.nebo.edu/","https://datagateway.schools.utah.gov/Schools/19117","801-489-2810","","","2006","","Principal","Amberly Darrington","amy.darrington@nebo.edu"
"Nebo District","19","East Meadows School","118","Public","","","","Pre - 6","1287 S 2130 E","SPANISH FORK","84660","geo:40.093977,-111.619185","http://eastmeadows.nebo.edu/","https://datagateway.schools.utah.gov/Schools/19118","801-798-4015","","","2006","","Principal","Teresa Jordan","teresa.jordan@nebo.edu"
"Nebo District","19","Foothills School","119","Public","","","","Pre - 6","412 S 810 E","SALEM","84653","geo:40.048208,-111.657232","http://foothills.nebo.edu/","https://datagateway.schools.utah.gov/Schools/19119","801-423-9172","801-423-6538","","2006","","Principal","Angela Stoddard","angela.stoddard@nebo.edu"
"Nebo District","19","Goshen School","120","Public","","Title I","Title I","Pre - 6","60 N CENTER","GOSHEN","84633","geo:39.954012,-111.899291","http://goshen.nebo.edu/","https://datagateway.schools.utah.gov/Schools/19120","801-667-3361","801-667-3374","","1983","","Principal","Benjamin Atkin","ben.atkin@nebo.edu"
"Nebo District","19","Hobble Creek School","130","Public","","","","Pre - 6","1145 E 1200 N","MAPLETON","84664","geo:40.142078,-111.565576","http://hobblecreek.nebo.edu/","https://datagateway.schools.utah.gov/Schools/19130","801-489-2863","801-489-2868","","2003","","Principal","Michael Sorensen","mike.sorensen@nebo.edu"
"Nebo District","19","Larsen School","136","Public","","Title I","Title I","Pre - 6","1175 E FLONETTE DRIVE","SPANISH FORK","84660","geo:40.106605,-111.633941","http://www.nebo.edu/larsen/index.html","https://datagateway.schools.utah.gov/Schools/19136","801-798-4035","801-798-4036","","1979","","Principal","Bethany Clark","bethany.clark@nebo.edu"
"Nebo District","19","Maple Ridge School","138","Public","","","","Pre - 6","2340 West Harvest Parkway","MAPLETON","84664","geo:40.1227027,-111.6013484","","https://datagateway.schools.utah.gov/Schools/19138","801-489-1800","801-489-1819","","2015","","Principal","Sara B. Matis","sara.matis@nebo.edu"
"Nebo District","19","Mapleton School","140","Public","","","","Pre - 6","120 W MAPLE","MAPLETON","84664","geo:40.130839,-111.580528","http://www.nebo.edu/mapleton/index.html","https://datagateway.schools.utah.gov/Schools/19140","801-489-2850","801-489-2887","","1970","","Principal","Camille Thomas","cami.thomas@nebo.edu"
